feature_id,diagnostic_pair,feature_class,diagnosis_supported,weight,category,vignette_phrase,rationale,reference_key,source_url,notes,active
DRCI06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,variability/effort,"Cognitive performance varies markedly with effort, fatigue, or encouragement",Variability with effort/fatigue supports a mood/attention contribution.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,neuropsychology,Testing shows slowed processing speed and executive dysfunction more than isolated amnestic storage failure,Late-life depression commonly affects processing speed and executive function.,Koenig_2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4107679/,,True
DRCI08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,attention/concentration,Attention and concentration problems are more prominent than forgetting learned information,Depression-related impairment often includes attention and concentration difficulties.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,retrieval/effort,Memory improves substantially with cues or repeated encouragement,Cue benefit suggests retrieval/attention/effort contribution rather than storage failure.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,function,"Functional impairment appears mainly due to low motivation, fatigue, or withdrawal",Depression can impair function through motivational and psychomotor mechanisms.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI11,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,context,"A recent bereavement, major stressor, or psychosocial trigger preceded cognitive complaints",A psychosocial trigger weakly supports a depressive contribution.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI12,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,history,The patient has recurrent depressive episodes earlier in life,Prior depression supports depressive etiology but does not exclude AT-NCD.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI13,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,depressive syndrome,"Appetite change, guilt, hopelessness, or suicidal ideation is present",These symptoms support depressive syndrome.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,Use sensitively in synthetic vignettes.,True
DRCI14,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,fluctuation,Cognitive symptoms fluctuate with sleep quality and mood severity,Mood-linked variability supports depression-related impairment.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI15,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,effort pattern,The patient says ‘I cannot do it’ before attempting cognitive tasks,Classic pseudodementia-like feature; should be used cautiously.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,Avoid caricature; not diagnostic alone.,True
DRCI16,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,function,Basic and instrumental daily activities are largely intact when mood symptoms are controlled,Preserved independence weighs against dementia-level impairment.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI17,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,imaging support,MRI is reported as age-appropriate without medial temporal atrophy,"Weak support against an Alzheimer-type neurodegenerative pattern, not definitive.",McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
DRCI18,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,reversibility,Cognitive symptoms improve after treatment of depression,Improvement with depression treatment supports depression-related cognitive impairment.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI19,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-2,temporal relation,Depressive symptoms are severe and temporally precede memory complaints,A strong temporal relationship supports depression-related impairment.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
DRCI20,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,core_feature,DRCI,-1,neuropsychology,Objective testing shows inconsistent errors rather than a stable amnestic pattern,Inconsistent errors support a non-neurodegenerative or mixed contribution.,Koenig_2014,https://pmc.ncbi.nlm.nih.gov/articles/PMC4107679/,,True
N01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Age 68–78 years,Age increases baseline risk but is not diagnostic.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Mild hypertension or diabetes without stroke history,Common comorbidity; should not decide the case alone.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Lives independently with a spouse,Contextual information compatible with either condition.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Mild nonspecific forgetfulness without objective testing,Too nonspecific to classify.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Social withdrawal without mood details,"Could reflect depression, apathy, or cognitive decline.",Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Mild word-finding difficulty without documented progression,Nonspecific unless progressive and associated with other deficits.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Family history of dementia in one older relative,Risk factor only; avoid over-weighting.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,No brain imaging available,Absence of imaging is not evidence for either side.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Mild white-matter hyperintensities on MRI,Common with age and vascular risk; may complicate either condition.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
N10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,neutral_context,neutral,0,neutral/context,Mild anxiety about health,Anxiety may coexist with either condition.,Mouta_2023,https://gpsych.bmj.com/content/36/4/e100939,,True
M01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,No collateral history from family or caregiver is available,Informant history is important for confirming decline and functional change.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,No objective cognitive testing has been performed,Objective testing is needed to support cognitive impairment.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,The onset and progression are not clearly documented,Time course is central to distinguishing progressive neurodegeneration from mood-linked symptoms.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,It is unclear whether daily activities are impaired,Functional status is needed to distinguish dementia-level impairment.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,No structured mood assessment is available,Mood assessment is needed to evaluate DRCI.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,Medication effects and substance use have not been assessed,Reversible contributors should be considered.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,"No work-up for delirium, thyroid disease, vitamin B12 deficiency, or infection is available",Medical mimics should be excluded in cognitive assessment.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,Brain imaging has not been performed,Imaging absence should reduce certainty but not determine the diagnosis.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,"Only one clinical visit is available, with no longitudinal follow-up",Longitudinal follow-up helps determine progression.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
M10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,missing_information,missing,M,missing_information,"Sleep, appetite, psychomotor slowing, and suicidality were not assessed",Important depressive and safety features are missing.,McKhann_2011,https://pmc.ncbi.nlm.nih.gov/articles/PMC3312024/,,True
C01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Memory decline has progressed over 18 months, but the patient also has severe low mood and anhedonia",Combines progressive course with depressive syndrome.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"The spouse confirms decline, and the patient is also very distressed by memory lapses",Combines collateral decline with depression-like subjective distress.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Delayed recall is poor, but sleep is severely disrupted and fatigue is prominent",Combines amnestic testing with depressive/vegetative symptoms.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Medication errors increased, but the patient is also withdrawn and lacks motivation",Functional impairment could arise through cognitive or depressive pathways.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"MRI is age-appropriate, but family reports steady worsening over two years",Tests whether imaging is over-weighted despite progressive clinical course.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"MRI shows medial temporal atrophy, but depressive symptoms are severe and recent",Combines supportive imaging with strong depressive syndrome.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Depression improved with treatment, but memory problems persisted",Should shift toward AT-NCD while retaining uncertainty.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Mood treatment improved concentration, but some memory complaints persist",Should shift toward DRCI while retaining uncertainty.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,"Testing showed impairment, but effort was inconsistent and performance fluctuated",Tests recognition of measurement uncertainty.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
C10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,conflict_cue,conflict,C,conflict,First depressive episode occurred after age 70 with cognitive symptoms,Ambiguous because late-life depression and neurodegeneration can be intertwined.,Marawi_2023,https://www.nature.com/articles/s41398-023-02584-2,,True
