vignette_id,diagnostic_pair,seed,condition_index,evidence_level,information_quality,feature_ids,evidence_score,ground_truth_label,forced_choice_accuracy_applicable,expected_more_information_needed,expected_confidence_band,vignette_text
ATNCD_DRCI_S01_11,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,11,moderate_DRCI,conflicting,DRCI01;DRCI02;DRCI04;DRCI06;DRCI09;ATNCD03;N03;C02,-8,DRCI,True,True,low_to_moderate,"A 71-year-old patient reports memory problems that began after several months of low mood, poor sleep, and fatigue. Cognitive performance varies with effort and improves with encouragement. However, the spouse also reports that the patient has repeated some questions and has occasionally missed appointments. There is no clear evidence of progressive functional decline."
ATNCD_DRCI_S01_12,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,12,moderate_DRCI,missing,DRCI02;DRCI04;DRCI14;M01;M02;M04,-5,DRCI,True,True,low_to_moderate,"A 69-year-old patient reports cognitive problems in the context of low mood, fatigue, and poor sleep. The patient says concentration is poor and memory is worse on days with severe insomnia. No formal cognitive testing has been performed, and there is no collateral history. It is unclear whether the patient has objective functional decline."
ATNCD_DRCI_S01_13,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,13,strong_DRCI,clear,DRCI01;DRCI02;DRCI03;DRCI04;DRCI06;DRCI07;DRCI09;DRCI16,-15,DRCI,True,False,high,"A 68-year-old patient reports new cognitive problems that began during a severe depressive episode. The patient has persistent low mood, anhedonia, sleep disturbance, fatigue, and feelings of hopelessness. Cognitive testing shows slowed processing speed, poor concentration, and inconsistent errors rather than a stable amnestic pattern. Memory improves with cues and encouragement, and daily functioning improves when mood and motivation are better."
ATNCD_DRCI_S01_14,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,14,strong_DRCI,conflicting,DRCI01;DRCI03;DRCI04;DRCI06;DRCI07;DRCI09;ATNCD03;DRCI17;C08,-11,DRCI,True,True,moderate_to_high,"A 70-year-old patient develops memory complaints during a severe depressive episode with marked anhedonia, poor sleep, fatigue, and psychomotor slowing. Cognitive testing shows variable effort, slowed processing, and improvement with cues. The spouse mentions some repeated questions, but there is no clear progressive decline in daily function. Brain imaging is reported as age-appropriate."
ATNCD_DRCI_S01_15,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,1,15,strong_DRCI,missing,DRCI02;DRCI03;DRCI04;DRCI14;M01;M02;M03;M04,-7,DRCI,True,True,moderate,"A 69-year-old patient presents with memory complaints, severe low mood, anhedonia, poor sleep, and fatigue. The patient reports that cognitive problems worsen when mood and sleep are worse. No informant is available, and no formal cognitive testing has been done. There is no information about longitudinal progression or objective functional decline."
ATNCD_DRCI_S02_01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,1,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD03;ATNCD06;ATNCD08;ATNCD09;ATNCD12,13,AT_NCD,True,False,high,"A 77-year-old patient has developed steadily worsening cognitive problems over two years. A family member reports repeated forgetting of recent discussions, increasing dependence with finances, and difficulty following a medication schedule. Serial cognitive testing shows decline compared with a prior assessment, and MRI notes medial temporal atrophy. The patient has limited awareness of the severity of the deficits."
ATNCD_DRCI_S02_02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,2,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD06;ATNCD08;ATNCD10;DRCI02;DRCI04;C06,6,AT_NCD,True,True,moderate_to_high,"A 78-year-old patient has had a gradual two-year decline from previous function, with increasing trouble managing finances and medications. Serial testing shows decline, mainly involving memory with some word-finding difficulty. MRI notes medial temporal atrophy. At the same visit, the patient reports significant low mood, poor sleep, and fatigue that began recently after social stress."
ATNCD_DRCI_S02_03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,3,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD10;ATNCD16;M01;M08;M09,7,AT_NCD,True,True,moderate,"A 76-year-old patient describes progressive difficulty remembering recent events and learning new routines over roughly two years. The history suggests a memory-predominant syndrome with some word-finding problems. However, no informant is available, no brain imaging has been performed, and there is no longitudinal follow-up beyond the current visit."
ATNCD_DRCI_S02_04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,4,moderate_AT_NCD,clear,ATNCD01;ATNCD03;ATNCD14;ATNCD16;N03;ATNCD18,7,AT_NCD,True,False,moderate,A 72-year-old patient has had gradually increasing forgetfulness for about 14 months. Family members notice repeated questions and difficulty learning a new medication schedule. The patient remains mostly independent and reports no prominent low mood or anhedonia.
ATNCD_DRCI_S02_05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,5,moderate_AT_NCD,conflicting,ATNCD01;ATNCD03;ATNCD16;DRCI02;DRCI04;DRCI05;C02,-1,AT_NCD,True,True,low_to_moderate,"A 73-year-old patient has become more forgetful over the past year and has trouble learning new instructions. A family member notices repeated questions. The patient is also very distressed by these lapses and reports persistent low mood, fatigue, and poor sleep. Functional decline remains mild."
ATNCD_DRCI_S02_06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,6,moderate_AT_NCD,missing,ATNCD03;ATNCD16;ATNCD19;M02;M04;M05;M09,4,AT_NCD,True,True,low_to_moderate,"A 71-year-old patient reports repeated forgetting and difficulty learning new tasks, with symptoms described as more steady than day-to-day fluctuating. No objective cognitive testing has been done. It is unclear whether daily activities have declined, mood symptoms have not been assessed, and there is no longitudinal follow-up."
ATNCD_DRCI_S02_07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,7,equivocal,clear,N01;N04;N05;N06;DRCI04;ATNCD14,-1,underdetermined,False,True,low,"A 74-year-old patient reports mild memory problems, reduced concentration, and social withdrawal. A relative notices occasional forgetfulness, but there is no clear functional decline. The patient has fatigue and sleep disturbance. Cognitive screening is mildly abnormal but nonspecific."
ATNCD_DRCI_S02_08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,8,equivocal,conflicting,ATNCD02;ATNCD04;DRCI02;DRCI04;DRCI06;DRCI09;C03;C09,-4,underdetermined,False,True,low,"A 75-year-old patient has a family-reported decline and mildly impaired delayed recall. At the same time, the patient has low mood, severe sleep disruption, fatigue, and testing performance that varies with effort. Some memory improves with cues, but the overall course remains uncertain."
ATNCD_DRCI_S02_09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,9,equivocal,missing,N04;N05;M01;M02;M03;M04;M05;M07,0,underdetermined,False,True,very_low,"A 73-year-old patient presents with vague memory concerns, social withdrawal, and reduced concentration. The time course is unclear. There is no informant, no objective cognitive testing, no functional history, no structured mood assessment, and no screen for reversible medical causes."
ATNCD_DRCI_S02_10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,10,moderate_DRCI,clear,DRCI01;DRCI02;DRCI04;DRCI07;DRCI09;DRCI16,-11,DRCI,True,False,moderate,"A 70-year-old patient reports cognitive problems that started during a depressive episode. Low mood, poor sleep, fatigue, and concentration difficulties are prominent. Testing shows slowed processing speed and executive inefficiency, and memory improves with cues. Daily activities are largely intact when motivation is adequate."
ATNCD_DRCI_S02_11,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,11,moderate_DRCI,conflicting,DRCI02;DRCI03;DRCI06;DRCI07;ATNCD02;ATNCD03;C04,-4,DRCI,True,True,low_to_moderate,"A 72-year-old patient has persistent low mood, anhedonia, fatigue, and cognitive performance that varies with effort. Testing suggests slowed processing and executive inefficiency. A family member also reports occasional repeated questions and a few medication errors, although these seem to occur during periods of withdrawal and low motivation."
ATNCD_DRCI_S02_12,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,12,moderate_DRCI,missing,DRCI02;DRCI04;DRCI08;DRCI14;M01;M02;M03;M04,-7,DRCI,True,True,low_to_moderate,"A 69-year-old patient reports poor concentration, fatigue, sleep disturbance, and memory complaints that fluctuate with mood. No informant is available, no formal cognitive testing has been performed, the time course is not well documented, and functional status is unclear."
ATNCD_DRCI_S02_13,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,13,strong_DRCI,clear,DRCI01;DRCI02;DRCI03;DRCI04;DRCI07;DRCI09;DRCI10;DRCI18,-16,DRCI,True,False,high,"A 68-year-old patient developed memory complaints during a severe depressive episode with low mood, anhedonia, poor sleep, fatigue, and withdrawal. Testing shows slowed processing speed and executive dysfunction, while memory improves with cues. Function appears limited mainly by low motivation and fatigue, and cognition improves after treatment of depression."
ATNCD_DRCI_S02_14,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,14,strong_DRCI,conflicting,DRCI01;DRCI02;DRCI03;DRCI06;DRCI07;DRCI09;DRCI17;ATNCD14;C08,-12,DRCI,True,True,moderate_to_high,"A 70-year-old patient developed cognitive complaints in the context of severe low mood and anhedonia. Performance varies with effort, testing shows slowed processing, and memory improves with cues. MRI is age-appropriate. A relative notes some forgetfulness, but concentration improved after mood treatment and no steady functional decline is documented."
ATNCD_DRCI_S02_15,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,2,15,strong_DRCI,missing,DRCI02;DRCI03;DRCI04;DRCI08;DRCI14;M01;M02;M09;M10,-9,DRCI,True,True,moderate,"A 69-year-old patient has persistent low mood, anhedonia, sleep disturbance, fatigue, and reduced concentration. Cognitive complaints fluctuate with mood and sleep. No informant is available, no formal testing or follow-up has occurred, and important affective and safety details have not been fully assessed."
ATNCD_DRCI_S03_01,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,1,strong_AT_NCD,clear,ATNCD01;ATNCD02;ATNCD04;ATNCD05;ATNCD06;ATNCD15;ATNCD18,12,AT_NCD,True,False,high,A 75-year-old patient has had insidious cognitive decline over nearly two years. A caregiver reports worsening memory and loss of independence in medication and bill management. Cognitive testing shows impaired delayed recall with little benefit from recognition cues. There is no prominent depressed mood or anhedonia.
ATNCD_DRCI_S03_02,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,2,strong_AT_NCD,conflicting,ATNCD01;ATNCD02;ATNCD04;ATNCD05;ATNCD15;DRCI02;DRCI04;C03,5,AT_NCD,True,True,moderate_to_high,"A 76-year-old patient has a caregiver-confirmed progressive decline over 18 months, with impaired delayed recall and poor cue benefit on testing. The patient has lost independence in complex daily activities. However, poor sleep, fatigue, and low mood are also present, making the contribution of depression clinically relevant."
ATNCD_DRCI_S03_03,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,3,strong_AT_NCD,missing,ATNCD01;ATNCD03;ATNCD06;ATNCD19;M02;M05;M08,7,AT_NCD,True,True,moderate,"A 74-year-old patient has a history that suggests steadily progressive memory problems, including repeated forgetting of recent conversations and increasing help needed with medications. No formal cognitive testing, structured mood assessment, or brain imaging has been completed."
ATNCD_DRCI_S03_04,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,4,moderate_AT_NCD,clear,ATNCD03;ATNCD04;ATNCD14;ATNCD19;N01;ATNCD18,7,AT_NCD,True,False,moderate,"A 73-year-old patient has repeated recent-memory lapses noticed more by family than by the patient. Cognitive screening shows reduced delayed recall. Symptoms are described as slowly progressive rather than fluctuating, and there is no prominent current depressed mood or anhedonia."
ATNCD_DRCI_S03_05,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,5,moderate_AT_NCD,conflicting,ATNCD03;ATNCD04;ATNCD19;DRCI02;DRCI03;DRCI14;C01,0,AT_NCD,True,True,low_to_moderate,"A 73-year-old patient has repeated memory lapses and mildly impaired delayed recall, with symptoms described as slowly progressive. The patient also has persistent low mood, loss of interest, and sleep-related fluctuation in concentration. The available history does not clearly separate cognitive progression from mood severity."
ATNCD_DRCI_S03_06,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,6,moderate_AT_NCD,missing,ATNCD03;ATNCD14;ATNCD16;M01;M02;M03;M04,4,AT_NCD,True,True,low_to_moderate,"A 72-year-old patient has repeated memory complaints and difficulty learning a new medication routine, and relatives reportedly noticed some decline. However, no informant is present at the visit, no objective cognitive testing has been performed, onset and progression are unclear, and daily-function status is not documented."
ATNCD_DRCI_S03_07,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,7,equivocal,clear,N01;N04;DRCI04;DRCI05;ATNCD03;N03,-2,underdetermined,False,True,low,"A 74-year-old patient reports mild forgetfulness, fatigue, and high distress about memory lapses. There are occasional repeated questions, but the patient remains independent with spouse support. No clear pattern of amnestic storage failure or mood-driven fluctuation is documented."
ATNCD_DRCI_S03_08,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,8,equivocal,conflicting,ATNCD02;ATNCD03;DRCI02;DRCI03;DRCI05;DRCI06;C02;C10,-4,underdetermined,False,True,low,"A 75-year-old patient has family-noted forgetfulness and repeated questions, but also a first depressive episode after age 70 with low mood, anhedonia, and high distress about cognitive failure. Performance varies with effort. Functional decline and longitudinal course are not clear."
ATNCD_DRCI_S03_09,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,9,equivocal,missing,N04;N10;M01;M02;M03;M04;M05;M06,0,underdetermined,False,True,very_low,"A 72-year-old patient presents with mild memory concerns and health-related anxiety. No collateral history is available, no objective testing has been performed, the time course and functional status are unclear, mood has not been formally assessed, and medication effects have not been reviewed."
ATNCD_DRCI_S03_10,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,10,moderate_DRCI,clear,DRCI01;DRCI02;DRCI03;DRCI06;DRCI08;DRCI16,-11,DRCI,True,False,moderate,"A 70-year-old patient reports that memory and concentration problems began during a depressive episode. Low mood and anhedonia are prominent. Attention and concentration problems dominate, performance varies with effort, and daily activities are largely preserved when mood symptoms are controlled."
ATNCD_DRCI_S03_11,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,11,moderate_DRCI,conflicting,DRCI01;DRCI02;DRCI06;DRCI08;DRCI16;ATNCD03;ATNCD14;C02,-6,DRCI,True,True,low_to_moderate,"A 71-year-old patient reports cognitive symptoms that began with low mood and poor concentration. Performance varies with effort and daily activities are mostly intact. A relative nevertheless reports repeated questions and some decline noticed at home, so the clinical picture is mixed."
ATNCD_DRCI_S03_12,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,12,moderate_DRCI,missing,DRCI02;DRCI04;DRCI05;DRCI14;M01;M02;M04;M07,-7,DRCI,True,True,low_to_moderate,"A 69-year-old patient is distressed by cognitive complaints and reports low mood, fatigue, sleep disturbance, and mood-linked fluctuation. No collateral history, objective testing, daily-function history, or screen for reversible medical causes is available."
ATNCD_DRCI_S03_13,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,13,strong_DRCI,clear,DRCI01;DRCI02;DRCI03;DRCI04;DRCI06;DRCI07;DRCI09;DRCI19,-16,DRCI,True,False,high,"A 68-year-old patient has severe depressive symptoms that clearly preceded memory complaints. The patient reports persistent low mood, anhedonia, poor sleep, fatigue, and concentration problems. Testing shows variable effort, slowed processing speed, and executive inefficiency. Memory improves substantially with cues and encouragement."
ATNCD_DRCI_S03_14,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,14,strong_DRCI,conflicting,DRCI01;DRCI03;DRCI04;DRCI06;DRCI07;DRCI09;DRCI19;ATNCD03;C05,-12,DRCI,True,True,moderate_to_high,"A 70-year-old patient developed cognitive complaints after severe depression with anhedonia, poor sleep, and fatigue. Testing shows slowed processing and cue-responsive memory with variable effort. The patient occasionally repeats questions, but MRI is age-appropriate and there is no documented steady functional decline."
ATNCD_DRCI_S03_15,Probable Alzheimer-type neurocognitive disorder vs depression-related cognitive impairment,3,15,strong_DRCI,missing,DRCI02;DRCI03;DRCI04;DRCI05;DRCI14;M01;M02;M03;M04;M08,-9,DRCI,True,True,moderate,"A 69-year-old patient reports severe low mood, anhedonia, fatigue, sleep disturbance, and distressing memory complaints that fluctuate with mood. No informant is available, no formal testing or imaging has been performed, and onset, progression, and daily-function impact are not well documented."
